ID,Nr. (Mönch),Jahr,Jahr (EDTF),Nr. (Schmid),Autor*in,Titel,Untertitel,Typus,Gattung,Prätext,Kontext,Wikidata (Titel),GND (Titel),DraCor (Titel)
23,023,1765,1765,013,J. Chr. Brandes,Miß Fanny,[bgl.] Tr. in Prosa,2b,bgl. Tr.,Prévot,–,http://www.wikidata.org/entity/Q133839041,,
24,024,1766,1766,015,J. Chr. Lossius,Amalia,Tr. in 5 A.,2,bgl. Tr.,[S],Theol.,,,
25,025,1767,1767,016,H. P. Sturz,Julie,[bgl.] Tr. in 5 A.,4h,bgl. Tr.,–,Päd.,http://www.wikidata.org/entity/Q52883292,,https://dracor.org/id/ger000066
26,026,1768,1768,+,Chr. F. Weiße,Romeo und Julie,bgl. Tr. in 5 A.,4h,bgl. Tr.,Shakesp.,–,http://www.wikidata.org/entity/Q133838971,,
27,027,1768,1768,017,Nüscheler,Inckle und Yaricko,Pros. Tr. in 3 H.,1,bgl. Tr.,Gellert,–,http://www.wikidata.org/entity/Q133843297,,
28,028,1768,1768,018,J. H. Faber,Inkle und Yariko,Tr. in Versen in 5 A.,1b',bgl. Tr.,Gellert,Theol.,,,
29,029,1757/68,"[1757,1768]",019[a],J. H. Steffens,"Cleveland, oder: Die redliche Untreue",Tr. in 5 A.,1,hist. Dr.,–,–,,,
30,029,1757/68,"[1757,1768]",019[b],J. H. Steffens,"Cleveland, oder: Der irrende Philosoph",Ssp. in 5 A.,1,hist. Dr.,–,–,,,
31,030,1768,1768,–,[Anonymus],Die versäumte Erziehung,Tr. in Prosa in 5 A.,1b',bgl. Tr.,–,Päd.,http://www.wikidata.org/entity/Q133820209,,
32,031,1769,1769,+,J. A. E. v. Ghelen,Die Menschlichkeit,bgl. Tr. in 5 A.,6i,Lsp/Ssp.,Boisset,Jus,http://www.wikidata.org/entity/Q133445214,,
33,032,1769,1769,020,[Anonymus],Die unglückl. Belohnung,Tr. in 5 A.,4,her. Tr.,–,–,,,
34,033,1769,1769,021,E. Fr. H. Falcke,Braitwell,bgl. Tr. in 1 A.,1s,bgl. Tr.,–,Theol.,http://www.wikidata.org/entity/Q133270100,,
35,034,1770,1770,022,J. G. Chr. Nonne,Don Pedro und Anton,bgl. Tr. in 5 A.,2,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q131389515,,
36,035,1770,1770,025,J. B. Pelzel,Yariko,Tr. in 1 H.,4,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133270117,,
37,036,1770,1770,027,B. Pfeufer,Vendelino,Tr. in 3 A.,2a,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133843242,,
38,037,1771,1771,+,Chr. H. Schmid,Die Wayse,bgl. Tr. in 5 A.,5i,bgl. Tr.,Otway,–,http://www.wikidata.org/entity/Q133839067,,
39,038,1771,1771,023,T. Ph. v. Gebler,Klementine od. das Testament,Dr. in 5 A.,1,bgl. Tr.,–,Jus,http://www.wikidata.org/entity/Q133445263,,
40,039,1771,1771,026,[Anonymus],Mis Jenny,trag. Nachspiel,4h',bgl. Tr.,Spect.,–,http://www.wikidata.org/entity/Q133843168,,
41,040,1771,1771,028,J. I. Zimmermann,Dithmar,Tr. in 5 A.,5',hist. Dr.,–,–,http://www.wikidata.org/entity/Q133445224,,
42,041,1771/72,"[1771,1772]",024,B. Pfeufer,Carl und Leonore,Tr. in 3 H.,2b,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133445238,,
43,042,1772,1772,029,G. E. Lessing,Emilia Galotti,Tr. in 5 A.,4h'',bgl. Tr.,–,–,http://www.wikidata.org/entity/Q782653,https://d-nb.info/gnd/4079164-6,https://dracor.org/id/ger000088
44,043,1772,1772,030,E. Th. J. Brückner,Emilie Blontville,bgl. Tr. in 5 H.,1,bgl. Tr.,[E],–,http://www.wikidata.org/entity/Q133842991,,
45,044,1772,1772,031,T. Ph. v. Gebler,Die Osmonde,Tr. in 5 A.,1,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133843000,,
46,045,1772,1772,032,[Anonymus],Fanny,trag. Nachspiel,2,bgl. Tr.,–,–,,,
47,046,1772/80,"[1772,1780]",111,Chr. F. Weiße,Die Flucht,bgl. Tr. in 5 A.,4h,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133838953,,
48,047,1773,1773,033,H. C. H. v. Trautzschen,Frh. von Bardenfels,bgl. Tr. in 3 A.,1,bgl. Tr.,–,–,,,
49,048,1773,1773,038,J. Chr. Brandes,Olivie,Tr. in 5 A.,1,bgl. Tr.,–,–,,,
50,049,1773,1773,042,J. J. Bodmer,Fußfall vor den Brüdern,Tr. in 3 A.,6',bibl. Dr.,–,Theol.,http://www.wikidata.org/entity/Q133397500,,
51,050,1774,1774,034,[Anonymus],Der Jesuit,Tr. in 6 A.,2a,bgl. Tr.,–,–,,,
52,051,1774,1774,035,[Anonymus],Die Braut im Portrait,Tr. in 5 A.,2b,bgl. Tr.,–,–,,,
53,052,1774,1774,036,J. W. v. Goethe,Clavigo,Tr. in 5 A.,4h'',bgl. Tr.,[E],–,http://www.wikidata.org/entity/Q466752,https://d-nb.info/gnd/4280631-8,https://dracor.org/id/ger000157
54,053,1774,1774,037,J. M. R. Lenz,Der Hofmeister,Komödie,6,Lsp/Ssp.,–,–,http://www.wikidata.org/entity/Q21213113,https://d-nb.info/gnd/4074154-0,https://dracor.org/id/ger000338
55,054,1774,1774,039,J. C. Wezel,Der Graf von Wickham,Tr. in 5 A.,2,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133820019,https://d-nb.info/gnd/1358439958,https://dracor.org/id/ger000726
56,055,1774,1774,040,T. Ph. v. Gebler,Adelhaid von Siegmar,Tr. in 5 A.,2a,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133838925,,
57,056,1774,1774,041,L. Zehnmark,Salvini und Adelson,Tr. in 3 A.,1b,bgl. Tr.,Arnauld,–,http://www.wikidata.org/entity/Q133250750,,
58,057,1774,1774,054,A. A. v. Crentzin,"Derbi, od. Treue u. Freundschaft",Tr. in 5 A.,2,hist. Dr.,–,–,http://www.wikidata.org/entity/Q133838901,,
59,058,1775,1775,043,Chr. E. Buschmann,Der Graf von der Weide,Tr. in 5 A.,2,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133419624,,
60,059,1775,1775,044,J. Chr. Unzer,Diego und Leonore,Tr. in 4 A.,2,hist. Dr.,[E],Theol.,http://www.wikidata.org/entity/Q133838695,,
61,060,1775,1775,045,G. Fr. W. Grossmann,Wilhelmine von Blondheim,Tr. in 3 A.,2,bgl. Tr.,[E],Jus,http://www.wikidata.org/entity/Q133250770,,
62,061,1775,1775,046,Fr. M. Klinger,Das leidende Weib,Tr. in 5 A.,5i,bgl. Tr.,[E],–,http://www.wikidata.org/entity/Q95579878,https://d-nb.info/gnd/1219177105,https://dracor.org/id/ger000497
63,062,1775,1775,047,E. L. M. Rathlef,Die Mohrinn zu Hamburg,Tragödie in 5 A.,5,bgl. Tr.,–,Jus,http://www.wikidata.org/entity/Q133330660,,
64,063,1775,1775,048,Fr. Th. Thilo,Euphemie,bgl. Tr. in 5 A.,1s,bgl. Tr.,–,Theol.,http://www.wikidata.org/entity/Q133413663,,
65,064,1775,1775,049,A. S. Goué/Wahr,Iwanette und Stormond,Tr. in 3 A.,2,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133413200,,
66,065,1775,1775,050,[Anonymus],Emilie Fermont,bgl. Tr. in 5 A.,1a,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133412781,,
67,066,1775,1775,051,J. G. Göntgen,Anna Bell,Tr. in 1 A.,2,bgl. Tr.,Arnauld,–,http://www.wikidata.org/entity/Q131634169,,https://dracor.org/id/ger000719
68,067,1775,1775,052,[Anonymus],Der Büchsenmacher,bgl. Tr. in 2 A.,4,bgl. Tr.,[E],Jus,http://www.wikidata.org/entity/Q29044623,,
69,068,1775,1775,053,Chr. G. Klemm,Eduard von Blumenberg,Tr. in 4 A.,1b',bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133251365,,
70,069,1775,1775,055,H. L. Wagner,Die Reue nach der Tat,Ssp. in 6 A.,2,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q55999240,,https://dracor.org/id/ger000264
71,070,1775,1775,056,I. Hübner,Der Lohn der Freundschaft,Trag. Ssp. in 5 A.,1,bgl. Tr.,–,Theol.,http://www.wikidata.org/entity/Q133410361,,
72,071,1775,1775,059,A. S. Goue,Masuren oder Der junge Werther,Tr. in 3 H.,5,bgl. Tr.,[W],–,http://www.wikidata.org/entity/Q133411195,,
73,072,1775,1775,069,H. F. Möller,Ernest und Gabriele,Tr. in 5 A.,2,bgl. Tr.,(R),–,http://www.wikidata.org/entity/Q133411589,,
74,073,1775,1775,–,[Anonymus],Irene,bgl. Tr. in 5 A.,1b,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133412357,,
75,?,1775,1775,–,[Anonymus],Die Freundschaft,bgl. Tr. in 3 A.,–,–,–,–,http://www.wikidata.org/entity/Q133838721,,
76,074,1776,1776,+,Fr. W. Gotter,Mariane,bgl. Tr. in 3 H.,2,bgl. Tr.,LaHarpe,Theol.,http://www.wikidata.org/entity/Q131764259,https://d-nb.info/gnd/129444378X,
77,075,1776,1776,057,J. W. v. Goethe,Stella,Ssp. für Liebende in 5 A.,5i,bgl. Tr.,[E],–,http://www.wikidata.org/entity/Q2342072,https://d-nb.info/gnd/4099204-4,https://dracor.org/id/ger000126
78,076,1776,1776,058,J. A. Leisewitz,Julius von Tarent,Tr. in 5 A.,2,hist. Dr.,[E],–,http://www.wikidata.org/entity/Q1713126,https://d-nb.info/gnd/4114391-7,https://dracor.org/id/ger000050
79,077,1776,1776,060/61,André/Cremeri,Die Leiden des Jungen Werthers,Tr. in 3 A.,5i,bgl. Tr.,[W],–,,,
80,078,1776,1776,062,J. J. Bodmer,Der Tod des ersten Menschen,rel. Dr.,5',bibl. Dr.,–,Theol.,,,
81,079,1776,1776,063,Fr. M. Klinger,Die neue Arria,Ssp. in 5 A.,4,bgl. Tr.,[E],–,http://www.wikidata.org/entity/Q56422542,https://d-nb.info/gnd/4327535-7,https://dracor.org/id/ger000103
82,?,1776,1776,064,M. J. Graf v. Daun,Adelson und Salvini,Tr. in 5 H.,–,–,–,–,http://www.wikidata.org/entity/Q133502950,,
83,080,1776,1776,065,K. H. Seibt,Gabriele Montalto,Tr. in 1 A.,2,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133270197,,
84,081,1776,1776,066,O. F. v. Diericke,Eduard Montrose,Tr. in 5 A.,2,hist. Dr.,–,–,http://www.wikidata.org/entity/Q131633917,,
85,082,1776,1776,082,[Anonymus],Montrose und Surrey,Tr. in 5 A.,2,hist. Dr.,–,–,http://www.wikidata.org/entity/Q131633917,,
86,083,1776,1776,067,L. Ph. Hahn,Graf Karl von Adelsberg,Tr. in 5 A.,1',bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133310391,https://d-nb.info/gnd/1199840882,
87,084,1776,1776,068,B. Chr. d'Arien,Marie von Wahlburg,Tr. in 5 A.,5i,bgl. Tr.,[W],–,http://www.wikidata.org/entity/Q133871040,,
88,085,1776,1776,070,[Anonymus],Der Bürger,Tr. in 3 A.,2,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133843367,,
89,086,1776,1776,071,J. Fr. E. Albrecht,Der unnatürliche Vater,Tr. in 3 A.,2,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133843355,,
90,087,1776,1776,072,Fr. M. Klinger,Die Zwillinge,Tr. in 5 A.,2,hist. Dr.,–,Theol.,http://www.wikidata.org/entity/Q1217801,https://d-nb.info/gnd/4114230-5,https://dracor.org/id/ger000190
91,088,1776,1776,073,H. L. Wagner,Die Kindermörderin,Tr. in 6 A.,5i,bgl. Tr.,–,Jus,http://www.wikidata.org/entity/Q1213864,https://d-nb.info/gnd/4215993-3,https://dracor.org/id/ger000396
92,089,1776,1776,074,J. Chr. Riebe,Die Gräfin von Wollberg,Tr. in 5 A.,2,bgl. Tr.,[W],–,http://www.wikidata.org/entity/Q133422929,,
93,090,1776,1776,075,H. F. Möller,Der Graf von Walltron,Tr. in 5 A.,6i,Lsp/Ssp.,–,Jus,http://www.wikidata.org/entity/Q114711538,,https://dracor.org/id/ger000593
94,091,1776,1776,080,Fr. M. Klinger,Sturm und Drang,Ssp. in 5 A.,6,Lsp/Ssp.,–,–,http://www.wikidata.org/entity/Q1768388,https://d-nb.info/gnd/4568296-3,https://dracor.org/id/ger000053
95,092,1776/1803,"[1776,1803]",–,J. J. Engel,Eid und Pflicht,bgl. Tr. in 5 A.,6i,Lsp/Ssp.,–,Jus,http://www.wikidata.org/entity/Q52894275,,https://dracor.org/id/ger000262
96,093,1777,1777,076,J. M. R. Lenz,Der Engländer,Dram. Phantasie,5,bgl. Tr.,"[E, W]",Theol.,http://www.wikidata.org/entity/Q1193157,https://d-nb.info/gnd/4310175-6,https://dracor.org/id/ger000423
97,094,1777,1777,077,J. Fr. Schink,Gianetta Montaldi,Tr. in 5 A.,2,bgl. Tr.,[E],–,http://www.wikidata.org/entity/Q133310453,,
98,095,1777,1777,078,Engelbrecht/Förster,Caroline von Rothenburg,Tr. in 5 A.,1,bgl. Tr.,(R),–,,,
99,?,1777,1777,079,Chr. B. Schücking,[Königin] Elisabeth,,–,–,–,–,http://www.wikidata.org/entity/Q133310426,,
100,096,1777/78,"[1777,1778]",081,Fr. K. A. v. Trützschler,Liebe und Tod,Tr. in 5 A.,4h,bgl. Tr.,[W],–,,,
101,097,1777,1777,083,A. A. v. Crentzin,Der Hochzeitstag,Tr. in 5 A.,2a,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133454498,,
102,098,1777,1777,084,A. M. Sprickmann,Eulalia,Tr. in 5 A.,4h,bgl. Tr.,[E],–,http://www.wikidata.org/entity/Q133278512,https://d-nb.info/gnd/7787370-1,
103,099,1777,1777,085,[Anonymus],"Amalia, unglückl. durch ihre Stiefmutter",Tr. in 5 A.,2,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133373914,,
104,100,1777,1777,088,Willer,Werther,bgl. Tr. in Prosa und 3 A.,1a,bgl. Tr.,[W],–,http://www.wikidata.org/entity/Q131631284,,
105,101,1778,1778,086,J. Fr. Schink,Lina von Waller,Tr. in 3 A.,5i,bgl. Tr.,[W],Theol.,,,
106,102,1778,1778,087,Chr. K. Schlegel,Düval und Charmille,bgl. Tr. in 5 A.,1a,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q118134246,https://d-nb.info/gnd/4685283-9,https://dracor.org/id/ger000613
107,103,1778,1778,089,E. L. M. Rathlef,Albert Stucke,Tragödie in 5 A.,1b,bgl. Tr.,Ballade,–,http://www.wikidata.org/entity/Q133444674,,
108,104,1778,1778,080,F. G. v. Nesselrode,Karoline od. d. unschuldige Opfer,Tr. in 3 H.,2,bgl. Tr.,[E],–,http://www.wikidata.org/entity/Q133502972,,
109,105,1778,1778,091,[Anonymus],Marie und Emilie,Tr. in 1 A.,2a,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133270749,,
110,106,1778,1778,092,F. Christel,Norwich und Julie,Tr. in 2 A.,2,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133270797,,
111,107,1778,1778,093,H. F. Möller,Heinrich und Henriette,Tr. in 5 A.,1a,bgl. Tr.,–,Theol.,http://www.wikidata.org/entity/Q133871053,,
112,108,1778,1778,095,H. F. Möller,Emanuel und Elmire,Tr. in 5 A.,1,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133839118,,
113,109,1778,1778,096,T. B. Berger,Galora von Venedig,Tr. in 5 A.,2a,hist. Dr.,[E],–,,,
114,110,1778,1778,096,B. D. A. Cremeri,Amaliens Verlöbniß,Tr. in 2 A.,2,bgl. Tr.,–,–,,,
115,111,1778,1778,097,J. A. Weiß,Rose Die Nonne wider ihren Willen,Tr. in 5 A.,2b,bgl. Tr.,[E],Theol.,http://www.wikidata.org/entity/Q125398385,,
116,112,1778,1778,098,[Anonymus],Die verkannte Unschuld,Tr. in 5 A.,1a,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133839155,,
117,?,1778,1778,099,A. P. Pollinger,Antonio del Bassiano,Tr. in 5 A.,–,–,–,–,http://www.wikidata.org/entity/Q133289064,,
118,113,1778,1778,–,[Anonymus],Jenny,bgl. Tr. in 5 A.,2,bgl. Tr.,[E],–,,,
119,114,1779,1779,100,[Anonymus],Charlotte e. Opfer d. Aberglaubens,Tr. in 3 A.,4h,bgl. Tr.,–,Theol.,,,
120,115,1779,1779,101,J. A. Weiß,"Von Helm, Der Freygeist ein Heuchler",Tr. in 5 A.,1,bgl. Tr.,–,Theol.,http://www.wikidata.org/entity/Q133289075,,
121,116,1779,1779,102,S. G. Bürde,"Hochzeitstag, od. das Ärgste kommt zuletzt",Tr. in 5 A.,5,bgl. Tr.,[W],–,http://www.wikidata.org/entity/Q133826085,,
122,117,1779,1779,103,E. L. M. Rathlef,Das Schloß Wartenfels,Tragödie in 5 A.,1a,bgl. Tr.,–,Theol.,http://www.wikidata.org/entity/Q133826111,,
123,118,1779,1779,104,Wagner,Der deutsche Student,Tr. in 5 A.,1b,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q112943724,,https://dracor.org/id/ger000588
124,119,1779,1779,105,J. I. Zimmermann,Der verlohrne Sohn,Tr. in 5 A.,6',bibl. Dr.,–,Theol.,http://www.wikidata.org/entity/Q133826120,,
125,120,1779,1779,106,Fr. S. L. v. Eckhardt,Die Schwäger,Tr. in 5 A.,1,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q131674889,,
126,121,1779,1779,107,L. Th. Kosegarten,Darmond und Allwina,Tr. in 5 A.,2,Rit. ssp.,[W],–,http://www.wikidata.org/entity/Q131674932,,
127,122,1779,1779,108,M. Scholz,Richard und Karl,Tr. in 5 A.,2b,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133309902,,
128,123,1779,1779,109,B. Chr. d'Arien,Natur und Liebe im Streit,Tr. in 5 A.,6,her. Ssp.,–,–,,,
129,124,1779,1779,110,F. A. Schraembl,Edwin und Emma,Ssp. in 5 A.,1,bgl. Tr.,–,–,,,
130,125,1779/80,"[1779,1780]",114,J. Chr. Brandes,Ottilie,Tr. in 5 A.,2,bgl. Tr.,[S],–,,,
131,126,1780,1780,112,Chr. F. Weiße,Jean Calas,Hist. Ssp. in 5 A.,4,hist. Dr.,–,–,,,
132,127,1780,1780,113,J. G. B. Büschel,Theodor und Julie,Tr. in 5 A.,1,bgl. Tr.,–,Päd.,,,
133,128,1780,1780,115,H. Keller,Die Räuber,Scene a. d. Menschenleben,2a,bgl. Tr.,–,–,,,
134,129,1780,1780,116,J. Prothke,Das leidende Mädchen,Tr. in 1 A.,4,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133270260,,
135,130,1780,1780,117,L. C. H. Bischof,Der Judenfeind,Tr. in 1 A.,2,bgl. Tr.,–,Theol.,http://www.wikidata.org/entity/Q133270380,,
136,131,1780,1780,118,A. Th. Linhart,Miß Jenny Love,Tr. in 5 A.,2,bgl. Tr.,–,–,,,
137,132,1780,1780,119,[Anonymus],Das unschuldige Opfer,Tr. in 4 A.,2,bgl. Tr.,–,Theol.,,,
138,133,1780,1780,120,J. A. v. Wielandt,Der Graf von Murrbach,Tr. in 5 A.,1b',bgl. Tr.,Arnauld,Jus,,,
139,134,1780/81,"[1780,1781]",121,J. Ph. Wollstädt,"Cassio, od., d. Folgen d. Eifersucht",Tr. in 5 A.,2,Rit. ssp.,Shakesp.,–,http://www.wikidata.org/entity/Q133826142,,
140,135,1780,1780,122,F. Prinner,Das Ideal d. unglückl. Liebe od. Klerdon,Tr. in 5 A.,2,bgl. Tr.,–,–,,,
141,136,1780,1780,131,[Anonymus],Richmond Falben,bgl. Tr. in 5 A.,1',bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133826157,,
142,137,1780,1780,–,[Anonymus],Don Vincenzo,bgl. Tr. in 5 A.,1a,bgl. Tr.,[E],–,,,
143,138,1780,1780,–,O. H. v. Gemmingen,Der deutsche Hausvater,Ssp. in 5 H.,6,Lsp/Ssp.,–,–,http://www.wikidata.org/entity/Q52895487,https://d-nb.info/gnd/1215366388,https://dracor.org/id/ger000189
144,139,1781,1781,123,[Anonymus],Das Kriegsrecht,Tragödie,5i,bgl. Tr.,Mercier,Jus,,,
145,140,1781,1781,124,P.,Ardenhut und Mathilde,Tr. in 3 A.,1,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q133826174,,
146,141,1781,1781,125,Chr. J. L. Steltzer,Franziska Montenegro,Tr. in 5 A.,2,hist. Dr.,[E],Theol.,http://www.wikidata.org/entity/Q131166948,,https://dracor.org/id/ger000716
147,142,1781,1781,126,K. F. D. Grohmann,Gioconda od. Weiberrache,Tr. in 3 A.,2,bgl. Tr.,[E],–,http://www.wikidata.org/entity/Q120490055,,https://dracor.org/id/ger000628
148,143,1781,1781,127,[Anonymus],Lidie von Wendlant,bgl. Tr. in 5 A.,1,bgl. Tr.,–,Jus,,,
149,144,1781,1781,129,K. F. G. v. Steinsberg,Miß Nelly Randolph,Tr. in 3 A.,1,bgl. Tr.,–,Theol.,,,
150,145,1781,1781,130,K. F. G. v. Steinsberg,Der Patriotismus,Tr. in 5 A.,K2+5,her. Tr.,–,–,,,
151,146,1781,1781,132,F. M. Vierthaler,Der englische Spion,Tr. in 4 A.,1b',hist. Dr.,–,Theol.,http://www.wikidata.org/entity/Q131803430,,
152,147,1781,1781,133,Fr. Schiller,Die Räuber,Ssp. in 5 A.,K1+5,her. Dr.,–,–,http://www.wikidata.org/entity/Q466333,https://d-nb.info/gnd/4099339-5,https://dracor.org/id/ger000008
153,148,1781,1781,–,W. A. Iffland,Albert von Thurneisen,bgl. Tr. in 4 A.,5i,bgl. Tr.,–,Jus,http://www.wikidata.org/entity/Q130271055,,
154,149,1782,1782,134,L. Erdmann,Der Hochverrath,Tr. in 3 A.,1,bgl. Tr.,–,–,,,
155,150,1782,1782,135,L. Erdmann,Der Mißverstand,Tr. in 3 A.,1a,bgl. Tr.,–,–,,,
156,151,1782,1782,136,J. M. Babo,"Oda, die Frau von zween Männern",Tr. in 5 A.,1,Rit. ssp.,–,–,http://www.wikidata.org/entity/Q133826191,,
157,152,1782,1782,137,L. Erdmann,Sainville,Tr. in 5 A.,1a,bgl. Tr.,–,–,,,
158,153,1782,1782,138,L. Erdmann,Wind und Wetter,Tr. in 2 A.,1,her. Tr.,–,–,,,
159,154,1783,1783,139,Fr. v. Eckart,Die vergiftete Traube,Tr. in 1 A.,1b,bgl. Tr.,[E],–,http://www.wikidata.org/entity/Q122749478,,https://dracor.org/id/ger000656
160,155,1783/89,"[1783,1789]",140,[Anonymus],Rudolph von Mohelli,Tr. in 3 A.,1b,bgl. Tr.,–,–,,,
161,156,1783/84,"[1783,1784]",141,Fr. Schiller,Kabale und Liebe,bgl. Tr. in 5 A.,2,bgl. Tr.,–,–,http://www.wikidata.org/entity/Q263150,https://d-nb.info/gnd/4099337-1,https://dracor.org/id/ger000096
162,157,1783,1783,146,K. F. Zimdar,"Freundschaft, Liebe, Eifersucht",Tr. in 5 A.,2,bgl. Tr.,"[E, W]",–,,,
